event_id,category,tag,theme,basis,summary,source_ids
A016,core,土地补偿纠纷,经济／工作／财产纠纷,法院认定,土地补偿及家庭问题引发不满，转向报复社会。,"[""AS019""]"
A016,core,家庭纠纷,婚姻／家庭／感情问题,法院认定,土地补偿及家庭问题引发不满，转向报复社会。,"[""AS019""]"
A016,core,报复社会,泄愤／转移报复,法院认定,土地补偿及家庭问题引发不满，转向报复社会。,"[""AS019""]"
A017,expanded,人际纠纷,其他已披露背景,警方初步通报,原有人际矛盾后袭击，继而劫持车辆危害公共安全。,"[""AS055""]"
A017,expanded,扩大报复,其他已披露背景,警方初步通报,原有人际矛盾后袭击，继而劫持车辆危害公共安全。,"[""AS055""]"
A018,core,工作纠纷,经济／工作／财产纠纷,警方初步通报,劳务合同到期续聘问题引发不满。,"[""AS021""]"
A018,core,转移报复,泄愤／转移报复,警方初步通报,劳务合同到期续聘问题引发不满。,"[""AS021""]"
A020,expanded,感情纠纷,婚姻／家庭／感情问题,警方初步通报,与前妻及其男友的感情纠纷后，伤害扩大到无关路人。,"[""AS023""]"
A020,expanded,扩大伤害,其他已披露背景,警方初步通报,与前妻及其男友的感情纠纷后，伤害扩大到无关路人。,"[""AS023""]"
A046,pending,婚姻纠纷,其他已披露背景,警方初步通报,警方转述供述：怀疑妻子与他人存在不正当关系而报复。,"[""AS050""]"
A047,excluded,同学纠纷,其他已披露背景,警方初步通报,同学间矛盾。,"[""AS051""]"
A025,core,经济损失,经济／工作／财产纠纷,法院认定,经营受查、赌博损失、婚姻破裂等个人挫折后报复社会。,"[""AS029""]"
A025,core,婚姻矛盾,婚姻／家庭／感情问题,法院认定,经营受查、赌博损失、婚姻破裂等个人挫折后报复社会。,"[""AS029""]"
A025,core,报复社会,泄愤／转移报复,法院认定,经营受查、赌博损失、婚姻破裂等个人挫折后报复社会。,"[""AS029""]"
A027,core,感情纠纷,婚姻／家庭／感情问题,警方初步通报,寻找前女友未果后迁怒无关者，具体心理原因未披露。,"[""AS031""]"
A027,core,转移报复,泄愤／转移报复,警方初步通报,寻找前女友未果后迁怒无关者，具体心理原因未披露。,"[""AS031""]"
A029,core,生活挫折,生活受挫／疏离／厌世,警方初步通报,警方转述嫌疑人供述：成长及工作生活不顺，产生悲观和报复社会心理。,"[""AS033""]"
A029,core,报复社会,泄愤／转移报复,警方初步通报,警方转述嫌疑人供述：成长及工作生活不顺，产生悲观和报复社会心理。,"[""AS033""]"
A032,expanded,医患纠纷,其他已披露背景,法院认定,认为眼睛治疗效果未达个人预期，对诊治医生怨恨。,"[""AS036""]"
A032,expanded,扩大伤害,其他已披露背景,法院认定,认为眼睛治疗效果未达个人预期，对诊治医生怨恨。,"[""AS036""]"
A033,core,报复社会,泄愤／转移报复,检方指控,检方通报指厌世、自杀及报复社会念头；尚未取得终审认定。,"[""AS037""]"
A033,core,自杀倾向,求死／求入狱,检方指控,检方通报指厌世、自杀及报复社会念头；尚未取得终审认定。,"[""AS037""]"
A034,expanded,工作纠纷,经济／工作／财产纠纷,法院认定,工作与请假等争执后行凶，扩大至学生群体。,"[""AS038""]"
A034,expanded,扩大报复,其他已披露背景,法院认定,工作与请假等争执后行凶，扩大至学生群体。,"[""AS038""]"
A037,core,模仿犯罪,其他已披露背景,法院认定,法院认为受网络小说影响欲模仿砍人情节；第二阶段与司机车费争执。,"[""AS041""]"
A037,core,后续乘车纠纷,其他已披露背景,法院认定,法院认为受网络小说影响欲模仿砍人情节；第二阶段与司机车费争执。,"[""AS041""]"
A038,core,住房纠纷,经济／工作／财产纠纷,警方初步通报,生活不如意及对承租公房拆除不满，为制造影响实施袭击。,"[""AS042""]"
A038,core,生活挫折,生活受挫／疏离／厌世,警方初步通报,生活不如意及对承租公房拆除不满，为制造影响实施袭击。,"[""AS042""]"
A038,core,报复社会,泄愤／转移报复,警方初步通报,生活不如意及对承租公房拆除不满，为制造影响实施袭击。,"[""AS042""]"
A039,core,疑似权益受损,寻求关注／表达诉求,法院认定,怀疑门锁被破坏，意图通过袭击闹市女性将事情闹大。,"[""AS043""]"
A039,core,制造影响,寻求关注／表达诉求,法院认定,怀疑门锁被破坏，意图通过袭击闹市女性将事情闹大。,"[""AS043""]"
A040,core,诉求受挫,寻求关注／表达诉求,检方指控,检方指控因家庭诉求未解决，对社会不满而袭击学生引关注。,"[""AS044"", ""AS045""]"
A040,core,报复社会,泄愤／转移报复,检方指控,检方指控因家庭诉求未解决，对社会不满而袭击学生引关注。,"[""AS044"", ""AS045""]"
A040,core,制造影响,寻求关注／表达诉求,检方指控,检方指控因家庭诉求未解决，对社会不满而袭击学生引关注。,"[""AS044"", ""AS045""]"
A042,core,家庭变故,婚姻／家庭／感情问题,警方初步通报,警方称儿子离世、与妻子离异，对社会产生不满。,"[""AS047""]"
A042,core,报复社会,泄愤／转移报复,警方初步通报,警方称儿子离世、与妻子离异，对社会产生不满。,"[""AS047""]"
B12,core,医疗不满,医疗不满,警方初步通报,警方初查：长期肾病就医后认为医护迫害自己而实施报复。,"[""BS13""]"
B12,core,泄愤报复,泄愤／转移报复,警方初步通报,警方初查：长期肾病就医后认为医护迫害自己而实施报复。,"[""BS13""]"
B13,pending,家庭争执,其他已披露背景,警方初步通报,警方称先与母亲因生活琐事争吵。,"[""BS14""]"
B01,core,经济受挫,经济／工作／财产纠纷,法院认定,法院认定无法接受投资失败，驾车冲撞行人。,"[""BS01""]"
B01,core,泄愤报复,泄愤／转移报复,法院认定,法院认定无法接受投资失败，驾车冲撞行人。,"[""BS01""]"
B07,core,生活失意,生活受挫／疏离／厌世,警方初步通报,警方初步认定因生活失意离家独居，为报复社会持棍行凶。,"[""BS07""]"
B07,core,泄愤报复,泄愤／转移报复,警方初步通报,警方初步认定因生活失意离家独居，为报复社会持棍行凶。,"[""BS07""]"
B10,expanded,婚恋家庭纠纷,其他已披露背景,法院认定,法院认定复合遭拒后跟候前妻，看到她与同学同行而起杀念；逃亡期间持续冲撞不特定车辆行人。,"[""BS10"", ""BS56""]"
B10,expanded,纠纷外溢,其他已披露背景,法院认定,法院认定复合遭拒后跟候前妻，看到她与同学同行而起杀念；逃亡期间持续冲撞不特定车辆行人。,"[""BS10"", ""BS56""]"
B02,core,家庭问题,婚姻／家庭／感情问题,法院认定,对家庭和社会不满，产生报复杀害无辜群众之念。,"[""BS02""]"
B02,core,泄愤报复,泄愤／转移报复,法院认定,对家庭和社会不满，产生报复杀害无辜群众之念。,"[""BS02""]"
B17,expanded,工作冲突,经济／工作／财产纠纷,警方初步通报,警方初查因务工期间口角行凶。,"[""BS19""]"
B48,excluded,工作冲突,经济／工作／财产纠纷,警方初步通报,警方称因与工友琐事争执心生怨恨。,"[""BS51""]"
B21,pending,邻里纠纷,其他已披露背景,警方初步通报,警方初查误认邻居谩骂自己发生争吵。,"[""BS23""]"
B23,core,工作冲突,经济／工作／财产纠纷,警方初步通报,警方称与原单位纠纷交涉未果。,"[""BS25""]"
B03,core,经济受挫,经济／工作／财产纠纷,法院认定,法院认定因投资失败和无力偿还巨额债务怨恨社会。,"[""BS12""]"
B03,core,债务,经济／工作／财产纠纷,法院认定,法院认定因投资失败和无力偿还巨额债务怨恨社会。,"[""BS12""]"
B03,core,泄愤报复,泄愤／转移报复,法院认定,法院认定因投资失败和无力偿还巨额债务怨恨社会。,"[""BS12""]"
B27,core,社会疏离,生活受挫／疏离／厌世,媒体调查,检方指控对生活失望，想通过犯罪入狱脱离社会；本人不同阶段对动机供述反复，不能把其个别说法视为已核定心理事实。,"[""BS29""]"
B27,core,谋求入狱,求死／求入狱,媒体调查,检方指控对生活失望，想通过犯罪入狱脱离社会；本人不同阶段对动机供述反复，不能把其个别说法视为已核定心理事实。,"[""BS29""]"
B04,core,泄愤报复,泄愤／转移报复,法院认定,法院认定为发泄个人情绪。判决记录的社交受挫、家人责骂为被告人供述，不能据此推定一般社会原因。,"[""BS03""]"
B31,pending,感情纠纷,婚姻／家庭／感情问题,警方初步通报,警方称因感情纠纷争执后驾车冲撞特定女性。,"[""BS34""]"
B32,core,学业受挫,学业问题,法院认定,法院认定为报复学校，刺伤学校周边无辜学生群众。起诉书具体称盗窃休学后复学未果而生不满。,"[""BS35"", ""BS53""]"
B32,core,泄愤报复,泄愤／转移报复,法院认定,法院认定为报复学校，刺伤学校周边无辜学生群众。起诉书具体称盗窃休学后复学未果而生不满。,"[""BS35"", ""BS53""]"
B34,expanded,感情纠纷,婚姻／家庭／感情问题,警方初步通报,警方初查源于感情纠纷。,"[""BS37""]"
B40a,core,经济受挫,经济／工作／财产纠纷,法院认定,法院认定生活窘迫、认为社会不公，欲自杀但没有勇气，预谋杀人以求死刑。,"[""BS43"", ""BS44""]"
B40a,core,社会不满,泄愤／转移报复,法院认定,法院认定生活窘迫、认为社会不公，欲自杀但没有勇气，预谋杀人以求死刑。,"[""BS43"", ""BS44""]"
B40a,core,借刑求死,求死／求入狱,法院认定,法院认定生活窘迫、认为社会不公，欲自杀但没有勇气，预谋杀人以求死刑。,"[""BS43"", ""BS44""]"
B40b,core,经济受挫,经济／工作／财产纠纷,法院认定,法院认定生活窘迫、认为社会不公，欲自杀但没有勇气，预谋杀人以求死刑。,"[""BS43"", ""BS44""]"
B40b,core,社会不满,泄愤／转移报复,法院认定,法院认定生活窘迫、认为社会不公，欲自杀但没有勇气，预谋杀人以求死刑。,"[""BS43"", ""BS44""]"
B40b,core,借刑求死,求死／求入狱,法院认定,法院认定生活窘迫、认为社会不公，欲自杀但没有勇气，预谋杀人以求死刑。,"[""BS43"", ""BS44""]"
B41,core,经济受挫,经济／工作／财产纠纷,法院认定,法院认定生活窘迫、认为社会不公，欲自杀但没有勇气，预谋杀人以求死刑。,"[""BS43"", ""BS44""]"
B41,core,社会不满,泄愤／转移报复,法院认定,法院认定生活窘迫、认为社会不公，欲自杀但没有勇气，预谋杀人以求死刑。,"[""BS43"", ""BS44""]"
B41,core,借刑求死,求死／求入狱,法院认定,法院认定生活窘迫、认为社会不公，欲自杀但没有勇气，预谋杀人以求死刑。,"[""BS43"", ""BS44""]"
C011,expanded,临时纠纷,其他已披露背景,警方初步通报,警方初查走路碰撞后持刀行凶。,"[""CS017""]"
C013,core,债务压力,经济／工作／财产纠纷,法院认定,据富士电视台援引日本外务省的判决说明，被告因债务产生厌世心理并杀伤3人；未取得中国法院裁判全文。,"[""CS059""]"
C013,core,厌世,生活受挫／疏离／厌世,法院认定,据富士电视台援引日本外务省的判决说明，被告因债务产生厌世心理并杀伤3人；未取得中国法院裁判全文。,"[""CS059""]"
C014,core,寻求关注,寻求关注／表达诉求,法院认定,联合早报转述日本驻华大使的判决说明：为在网上博取关注而购买刀具、袭击儿童，案发后曾打电话给媒体；未取得中国裁判全文。,"[""CS060""]"
C004,core,经济纠纷,经济／工作／财产纠纷,警方初步通报,警方初查个人经济纠纷后来沪泄愤。,"[""CS007""]"
C004,core,泄愤,泄愤／转移报复,警方初步通报,警方初查个人经济纠纷后来沪泄愤。,"[""CS007""]"
C001,core,婚姻家庭,婚姻／家庭／感情问题,法院认定,法院认定婚姻破裂、生活失意且不满离婚财产分割，决意撞人泄愤。,"[""CS001""]"
C001,core,财产纠纷,经济／工作／财产纠纷,法院认定,法院认定婚姻破裂、生活失意且不满离婚财产分割，决意撞人泄愤。,"[""CS001""]"
C001,core,泄愤,泄愤／转移报复,法院认定,法院认定婚姻破裂、生活失意且不满离婚财产分割，决意撞人泄愤。,"[""CS001""]"
C002,core,学业受挫,学业问题,警方初步通报,警方初查称考试不合格未获毕业证及不满实习报酬，返校行凶。,"[""CS005""]"
C002,core,劳动报酬,经济／工作／财产纠纷,警方初步通报,警方初查称考试不合格未获毕业证及不满实习报酬，返校行凶。,"[""CS005""]"
C002,core,泄愤,泄愤／转移报复,警方初步通报,警方初查称考试不合格未获毕业证及不满实习报酬，返校行凶。,"[""CS005""]"
C003,core,投资亏损,经济／工作／财产纠纷,法院认定,法院认定投资亏损及家庭矛盾，借袭击发泄个人情绪。,"[""CS006""]"
C003,core,婚姻家庭,婚姻／家庭／感情问题,法院认定,法院认定投资亏损及家庭矛盾，借袭击发泄个人情绪。,"[""CS006""]"
C003,core,泄愤,泄愤／转移报复,法院认定,法院认定投资亏损及家庭矛盾，借袭击发泄个人情绪。,"[""CS006""]"
C043,excluded,不满处罚,其他已披露背景,法院认定,因盗窃被行政拘留后，认为生活不公，放火泄愤。,"[""CS054""]"
C043,excluded,泄愤,泄愤／转移报复,法院认定,因盗窃被行政拘留后，认为生活不公，放火泄愤。,"[""CS054""]"
C023,expanded,感情纠纷,婚姻／家庭／感情问题,警方初步通报,与前女友感情纠纷、到其工作单位发生口角。,"[""CS033""]"
C019,pending,学业受挫,学业问题,警方初步通报,警方称因学业不顺行凶。,"[""CS028""]"
C025,excluded,现场纠纷,其他已披露背景,警方初步通报,前车卸货挡道持续鸣笛，与围车群众争执后强行驶离。,"[""CS035""]"
LX26A03,excluded,邻里纠纷,其他已披露背景,警方初步通报,小区社交群琐事争执后约见，矛盾激化。,"[""LXS26A07""]"
LX26A13,expanded,情感纠纷,婚姻／家庭／感情问题,官方事迹,官方事迹称感情纠纷后饮酒行凶。,"[""LXS26A18""]"
LX26A07,pending,抢劫,其他已披露背景,警方初步通报,警方认定实施抢劫。,"[""LXS26A13""]"
LX26A14,excluded,家庭纠纷,婚姻／家庭／感情问题,官方事迹,家庭纠纷。,"[""LXS26A18""]"
LX26B02,expanded,工作纠纷,经济／工作／财产纠纷,官方事迹,官方案例记述袭击者与老板存在既往纠纷；具体心理动机未披露。,"[""LXS26B01""]"
LX26B08,excluded,工作纠纷,经济／工作／财产纠纷,警方初步通报,警方初查为同事矛盾。,"[""LXS26B09""]"
LX26B10,pending,经营纠纷,其他已披露背景,警方初步通报,警方查明因经营纠纷实施放火。,"[""LXS26B12"", ""LXS26B13""]"
LX26C05,pending,商业纠纷,其他已披露背景,警方初步通报,警方初查称与店主存在矛盾纠纷后纵火，细节未知。,"[""LXS26C14""]"
LX26C06,excluded,邻里纠纷,其他已披露背景,警方初步通报,警方初查为邻里矛盾引发争执。,"[""LXS26C15""]"
LX26C04,excluded,人际纠纷,其他已披露背景,警方初步通报,警方初查：因纠纷伤害特定女子，纠纷内容未公布。,"[""LXS26C13""]"
C041,expanded,人际纠纷,其他已披露背景,媒体调查,目击者采访称与摊主冲突，进一步起因未披露。,"[""LXS26C07""]"
