district,urban_rural,deaths,injured,serious_injuries,attacker_deaths,attacker_injured,casualty_asof,casualty_note,involves_children,victim_relation,age,sex,occupation,motive_summary,mental_health,prior_violence,warning_signals,intervention,outcome,judgment_date,execution_date,last_source_date,notes,deaths_lower_bound,injured_lower_bound,motive_tags,motive_basis,evidence_level,official_occurrence,official_classification,classification_evidence,id,date,date_precision,title,province,city,scene,method,category,classification_reason,source_ids,field_sources,reported_date,review_year,dating_note,review_batch,injured_reported,series_id,additional_collision_injured,response_injured,event_total_injured_reported,motive_attribution,date_time,continuous_attack,motive_themes,verification_gaps,social_source_urls,year,month,quarter,category_label,official,same_period,motive_known,deaths_min,injured_min,driver_deaths
,,,,,,,,传1死或2死互异，不计入精确值。,,,,,,,,,,,,,,2026-02-04,不保存影像；私人关系说法未经核实。,,,[],未知,网传待核,False,False,网传线索，未独立核实,LX26A20,2026-02-02,day,网传江苏扬州街头喷火伤人事件,江苏,扬州,街道交通,纵火,pending,网络视频与转述称因私人关系定向袭击，地点、年月日和动机均待核；尚无充分证据认定事件全貌或无关者受袭。,"[""LXS26A25"", ""LXS26A26""]","{""date"": [""LXS26A25"", ""LXS26A26""], ""location"": [""LXS26A25"", ""LXS26A26""], ""casualties"": [], ""classification"": [""LXS26A25"", ""LXS26A26""], ""motive"": [], ""outcome"": []}",,2026,2月2日由网传知情者指称，亦为视频流传日，未得到独立案发日确认。,2026-X补查,,,,,,,,,[],网络视频与转述称因私人关系定向袭击，地点、年月日和动机均待核；尚无充分证据认定事件全貌或无关者受袭。,"[""https://x.com/whyyoutouzhele/status/2018814351998918831""]",2026,2026-02,2026-Q1,待核实,False,True,False,0,0,
宝安区,,,,,,,,女子倒地不等于死亡；数量不录入精确字段。,,,,,,,,,,,,,,2026-02-03,,,,[],未知,网传待核,False,False,网传线索，未独立核实,LX26A04,2026-02-03,day,网传深圳万丰海岸城持刀伤人事件,广东,深圳,商业场所,持械,pending,仅单源投稿及同素材转发，缺警方事实确认，未说明双方关系和最初冲突。,"[""LXS26A08"", ""LXS26A01""]","{""date"": [""LXS26A08""], ""location"": [""LXS26A08""], ""casualties"": [], ""classification"": [""LXS26A08""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],仅单源投稿及同素材转发，缺警方事实确认，未说明双方关系和最初冲突。,"[""https://x.com/whyyoutouzhele/status/2018738337733914646"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",2026,2026-02,2026-Q1,待核实,False,True,False,0,0,
七坊镇,,,,,,,2026-07-09,救助者手部伤已确认；工作人员是否受伤及总数未明。,,工作人员及路过劝阻者,,,,官方事迹称感情纠纷后饮酒行凶。,,,,路过群众夺刀制止。,,,,2026-07-09,,,1,"[""情感纠纷""]",官方事迹,官方原文,True,True,官方材料直接记载私人感情纠纷后持刀行凶，并主动伤害路过制止者，支持扩大分类。,LX26A13,2026-02-04,day,海南白沙七坊KTV持刀袭击及救助者受伤案,海南,白沙黎族自治县,商业场所,持械,expanded,官方确认因感情纠纷持刀追逼工作人员，转而挥刀对抗无关救助者并伤其手，扩大到原纠纷无关者。,"[""LXS26A18""]","{""date"": [""LXS26A18""], ""location"": [""LXS26A18""], ""casualties"": [""LXS26A18""], ""classification"": [""LXS26A18""], ""motive"": [""LXS26A18""], ""outcome"": [], ""intervention"": [""LXS26A18""]}",,2026,,2026-X补查,,,,,,中央政法委2026年第二季度见义勇为事迹公开材料；不是警方初报或法院认定。,,,"[""婚姻／家庭／感情问题""]",,[],2026,2026-02,2026-Q1,纠纷扩大,True,True,True,0,1,
巧家县,,,,,,,2026-03-30,至少1名头部伤者，非完整伤亡统计。,,,,,,,,,,居民追赶，辅警与群众合力制服。,嫌疑人被控制。,,,2026-03-30,未披露动机，不推定精神病或报复社会。,,1,[],未知,官方原文,True,True,官方材料直接记载作案者在社区追砍群众并转向上前喝止者，支持公众目标分类。,LX26A19,2026-02-15,day,云南巧家邱家屿社区持刀追砍群众事件,云南,昭通,社区住宅,持械,core,官方记录作案者先持斧破坏车辆，再出车库持刀追砍社区群众并转向制止者，支持面向在场公众持续攻击，非仅凭受伤人数归类。,"[""LXS26A22""]","{""date"": [""LXS26A22""], ""location"": [""LXS26A22""], ""casualties"": [""LXS26A22""], ""classification"": [""LXS26A22""], ""motive"": [], ""outcome"": [""LXS26A22""], ""intervention"": [""LXS26A22""]}",,2026,,2026-X补查,,,,,,,,,[],,[],2026,2026-02,2026-Q1,核心,True,True,False,0,1,
汉阳区,,,,,,,,单一报道2伤，暂不写入精确数字。,,,,,,,,,,,,,,2026-03-14,不能把锦观、齐鲁、百姓关注及境外转述自动认作独立采集；需回溯原视频采访。,,,[],未知,单一媒体,False,False,网传线索，未独立核实,LX26A21,2026-03-11,day,武汉汉阳火锅店与广场舞冲突伤人线索,湖北,武汉,商业场所,持械,pending,记者采访商户及社区称争执伤及舞者和无关劝架人，具expanded特征；尚缺正式通报或第二独立采集确认发生全貌。,"[""LXS26A28""]","{""date"": [""LXS26A28""], ""location"": [""LXS26A28""], ""casualties"": [], ""classification"": [""LXS26A28""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],记者采访商户及社区称争执伤及舞者和无关劝架人，具expanded特征；尚缺正式通报或第二独立采集确认发生全貌。,[],2026,2026-03,2026-Q1,待核实,False,True,False,0,0,
北碚区,,,,,,,,学校否认持刀伤人，家长称手部手术，不据争议报道填确定死伤。,True,,,,,,,,,,,,,2026-05-09,排除是依据现有对象范围；不代表已裁断家长或校方真假。,,,[],未知,单一媒体,False,False,网传线索，未独立核实,LX26A22,2026-03-19,day,重庆朝阳中学同学冲突及持刀说法争议,重庆,重庆,校园及周边,持械,excluded,家长与校方对持刀、伤情存在矛盾，但各版本均为同班同学日常矛盾，未见主动袭击无关者；制止学生被称未受伤。,"[""LXS26A29""]","{""date"": [""LXS26A29""], ""location"": [""LXS26A29""], ""casualties"": [], ""classification"": [""LXS26A29""], ""motive"": [], ""outcome"": [], ""demographics"": [""LXS26A29""]}",,2026,,2026-X补查,,,,,,,,,[],,[],2026,2026-03,2026-Q1,排除,False,True,False,0,0,
横琴粤澳深度合作区,,1,,,,,2026-03-22,,,,26,男,,警方认定实施抢劫。,,,,,3月21日抓获嫌疑人。,,,2026-03-22,,,,"[""抢劫""]",警方初步通报,官方转载,True,False,发生已确认，受害关系待核,LX26A07,2026-03-20,day,横琴小区抢劫致死案,广东,珠海,社区住宅,其他,pending,警方证实入小区抢劫两人、1死；抢劫不自动排除，但未披露选择对象过程、先前关系及攻击方式，暂不能确认为随机侵害。,"[""LXS26A12"", ""LXS26A13"", ""LXS26A01""]","{""date"": [""LXS26A13""], ""location"": [""LXS26A13""], ""casualties"": [""LXS26A13""], ""classification"": [""LXS26A12"", ""LXS26A13""], ""motive"": [""LXS26A13""], ""outcome"": [""LXS26A13""], ""demographics"": [""LXS26A13""]}",,2026,按警方3月20日晚；社媒初报3月22日及后续3月21日均非案发日。,2026-X补查,,,,,,,,,"[""其他已披露背景""]",警方证实入小区抢劫两人、1死；抢劫不自动排除，但未披露选择对象过程、先前关系及攻击方式，暂不能确认为随机侵害。,"[""https://x.com/whyyoutouzhele/status/2035510951944819083"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",2026,2026-03,2026-Q1,待核实,False,True,True,1,0,
两江新区,,0,3,,,,2026-03-23,通报1死3伤中的死者为司机，另3人为受伤行人；死亡司机单列driver_deaths，不计受害者或作案者死亡。,,,33,男,,,,,,,,,,2026-03-23,警方表述为疑似，保留后续改变结论可能；不采用自媒体额外宣称已排除故意性的扩写。,,,[],未知,官方转载,True,True,警方初查疑似病发失控,LX26A08,2026-03-22,day,重庆观音桥司机疑发病车辆失控事故,重庆,重庆,街道交通,驾车,excluded,完整警方通报初查司机疑似突发疾病后车辆失控；现场报道未提供反复选择目标等足以证明主动袭击的证据。,"[""LXS26A14"", ""LXS26A15"", ""LXS26A01""]","{""date"": [""LXS26A15""], ""location"": [""LXS26A15""], ""casualties"": [""LXS26A15""], ""classification"": [""LXS26A15""], ""motive"": [], ""outcome"": [], ""demographics"": [""LXS26A15""]}",,2026,,2026-X补查,,,,,,,,,[],,"[""https://x.com/whyyoutouzhele/status/2035710493772382393"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",2026,2026-03,2026-Q1,排除,True,True,False,0,3,1
杨浦区,,,,,,,2026-07-09,官方事迹确认妻子被刀伤；不是完整伤亡统计。,,夫妻,,,,家庭纠纷。,,,,配送员骑车撞开施害者，与群众合力控制。,,,,2026-07-09,,,1,"[""家庭纠纷""]",官方事迹,官方原文,True,True,官方明确定向家庭纠纷,LX26A14,2026-03-24,day,上海平凉路男子持刀伤妻案,上海,上海,街道交通,持械,excluded,官方明确家庭纠纷后持刀伤妻；他人制止成功，未披露对无关者继续攻击。,"[""LXS26A18""]","{""date"": [""LXS26A18""], ""location"": [""LXS26A18""], ""casualties"": [""LXS26A18""], ""classification"": [""LXS26A18""], ""motive"": [""LXS26A18""], ""outcome"": [], ""intervention"": [""LXS26A18""]}",,2026,,2026-X补查,,,,,,中央政法委2026年第二季度见义勇为事迹公开材料；不是警方初报或法院认定。,,,"[""婚姻／家庭／感情问题""]",,[],2026,2026-03,2026-Q1,排除,True,True,True,0,1,
龙岗区,,,,,,,,网传两死或两伤等不同说法不录精确值。,,,,,,,,,,,,,,2026-03-27,与罗湖清晨案时间、区域及被述作案者均不同，暂分候选；若后续证明同一连续过程应合并。,,,[],未知,网传待核,False,False,网传线索，未独立核实,LX26A09,2026-03-26,day,网传深圳龙城街道爱联市场持刀伤人事件,广东,深圳,商业场所,持械,pending,晚间龙岗线索尚无独立采集或正式通报；网传冲突起因、快递员身份和学生死亡人数互相矛盾。,"[""LXS26A16"", ""LXS26A31"", ""LXS26A01""]","{""date"": [""LXS26A16"", ""LXS26A31""], ""location"": [""LXS26A16"", ""LXS26A31""], ""casualties"": [], ""classification"": [""LXS26A16"", ""LXS26A31""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],晚间龙岗线索尚无独立采集或正式通报；网传冲突起因、快递员身份和学生死亡人数互相矛盾。,"[""https://x.com/whyyoutouzhele/status/2037212487309742093"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",2026,2026-03,2026-Q1,待核实,False,True,False,0,0,
罗湖区,城市,,,,,,2026-07-09,只确认救助者1人死亡，不据网传填入学生伤亡；全案最终伤亡总数未见披露。,,女学生及上前制止的路过保洁员,,,,,,,,保洁员徒手夺刀并追赶，受致命伤；警方后抓获嫌疑人。,嫌疑人被抓获。,,,2026-07-09,官方未披露施害者性别年龄；社媒女性或男子版本不采信。,1,,[],未知,官方原文,True,True,官方材料直接记载持刀者转而刺伤无关救助者并致其死亡，支持扩大分类；初始被害人与作案者关系未知。,LX26A10,2026-03-26,day,深圳罗湖东门女学生及救助者遭持刀袭击,广东,深圳,街道交通,持械,expanded,官方确认先对女学生行凶，随后刺伤原袭击无关的路过救助者并致其死亡；按扩大至无关救助者记录，最初学生是否随机目标仍未知。,"[""LXS26A17"", ""LXS26A18"", ""LXS26A01""]","{""date"": [""LXS26A18""], ""location"": [""LXS26A18""], ""casualties"": [""LXS26A18""], ""classification"": [""LXS26A18""], ""motive"": [], ""outcome"": [""LXS26A18""], ""intervention"": [""LXS26A18""]}",,2026,官方明确3月26日6时许。,2026-X补查,,,,,,,,,[],,"[""https://x.com/whyyoutouzhele/status/2037239673907535998"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",2026,2026-03,2026-Q1,纠纷扩大,True,True,False,1,0,
锡林浩特市,,,,,,,,官方事迹未披露伤亡；没有伤亡通报不等于零伤亡。,,乘客与公交司机，既往关系未披露。,,,,,官方事迹称癫痫发作，未取得医学资料；癫痫不是精神疾病，不据此推定诊断或刑责能力。,,,其他乘客控制涉事乘客，车辆靠边后等待民警到场。,,,,2026-07-09,仅保留表彰材料对该个案的归因，不采纳其疾病人群力量或攻击性的泛化描述；约16时。,,,[],未知,官方原文,True,False,发生由官方确认；主动性与对象关系证据仍缺。,LX26A23,2026-03-26,day,锡林浩特8路公交乘客攻击司机事件,内蒙古,锡林郭勒盟,公共交通,其他,pending,官方表彰事迹确认乘客冲向驾驶区攻击司机，但将行为归因于疾病发作，未披露医学诊断、行为意识或袭击动机。发生已核实，是否符合有意识主动袭击及无关公众目标口径仍待核。,"[""LXS26A18""]","{""date"": [""LXS26A18""], ""location"": [""LXS26A18""], ""casualties"": [], ""classification"": [""LXS26A18""], ""motive"": [], ""outcome"": [], ""intervention"": [""LXS26A18""], ""mental_health"": [""LXS26A18""]}",,2026,,2026-X补查,,,,,,,,,[],缺医学或调查资料确认行为意识、发作情况、对象关系及伤亡。,[],2026,2026-03,2026-Q1,待核实,False,True,False,0,0,
房山区,乡镇,,,,,,,网络死亡人数多版本冲突，全部不计入精确字段。,,,,,,,,,,,,,,2026-03-31,已补3月29日李老师原帖及镜像；“举报未果”与具体死伤均为未核聊天或现场口述。,,,[],未知,网传待核,False,False,媒体调查／研究推断,C034,2026-03-29,day,网传北京房山大韩继集市铲车冲撞事件,北京,北京,商业场所,驾车,pending,报道主要来自网络影像，无官方确认或独立可靠实地核实；发生细节、意图及伤亡均待核。,"[""CS045"", ""LXS26A01"", ""LXS26A20""]","{""date"": [""CS045""], ""location"": [""CS045""], ""casualties"": [""CS045""], ""classification"": [""CS045"", ""LXS26A20""], ""motive"": [], ""outcome"": []}",,,,2026-X补查,,,,,,,,,[],报道主要来自网络影像，无官方确认或独立可靠实地核实；发生细节、意图及伤亡均待核。,"[""https://x.com/whyyoutouzhele/status/2039625155404509246"", ""https://x.com/whyyoutouzhele/status/2038169287744229772""]",2026,2026-03,2026-Q1,待核实,False,True,False,0,0,
江岸区,城市,0,4,,,,2026-03-31,,,,44,男,,,,,,民警与群众合力制服；封面新闻现场走访称其水果刀脱手后曾去另一家店拿裁纸刀。,吴某某当场被控制。,,,2026-03-31,李老师帖子把44岁误写41岁，以警方为准；新唐人与社媒影像同源，不增加独立采集数量。,,,[],未知,官方转载,True,False,媒体调查／研究推断,C027,2026-03-31,day,武汉青松路持刀伤人案,湖北,武汉,街道交通,持械,pending,警方确认4伤；新增网传连续影像的媒体文字描述显示先后攻击摊贩、路中男子、路过女子，支持公众目标，但未独立核验原视频连续性及拍摄时地。现场记者未目击起因，暂保留待核并明确证据缺口。,"[""CS037"", ""RCS004"", ""LXS26A01"", ""LXS26A21"", ""LXS26A30""]","{""date"": [""CS037""], ""location"": [""CS037""], ""casualties"": [""CS037""], ""classification"": [""CS037"", ""LXS26A21"", ""LXS26A30""], ""motive"": [], ""outcome"": [""CS037""], ""intervention"": [""CS037"", ""RCS004""]}",,,,2026-X补查,,,,,,,,,[],警方确认4伤；新增网传连续影像的媒体文字描述显示先后攻击摊贩、路中男子、路过女子，支持公众目标，但未独立核验原视频连续性及拍摄时地。现场记者未目击起因，暂保留待核并明确证据缺口。,"[""https://x.com/whyyoutouzhele/status/2039625155404509246"", ""https://x.com/whyyoutouzhele/status/2039111132950962182""]",2026,2026-03,2026-Q1,待核实,False,True,False,0,4,
拱墅区,,,,,,,,女伤者及施害者跳楼的说法未核；年龄和精神疾病传闻不填确认字段。,,,,,,,,,,,,,,2026-03-31,,,,[],未知,网传待核,False,False,网传线索，未独立核实,LX26A11,2026-03-31,day,网传杭州世嘉铭座入室持刀伤人事件,浙江,杭州,社区住宅,持械,pending,单源投稿描绘敲陌生住户门后行凶，但尚未取得发生细节、关系及现场来源的独立核验。,"[""LXS26A19"", ""LXS26A01""]","{""date"": [""LXS26A19""], ""location"": [""LXS26A19""], ""casualties"": [], ""classification"": [""LXS26A19""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],单源投稿描绘敲陌生住户门后行凶，但尚未取得发生细节、关系及现场来源的独立核验。,"[""https://x.com/whyyoutouzhele/status/2038959494865313931"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",2026,2026-03,2026-Q1,待核实,False,True,False,0,0,
博罗县,,,,,,,,,,,,,,,,,,,,,,2026-04-23,来源称帝都酒店门前；只保留月份。关于出狱身份和人数的传闻不写入事实字段。,,,[],未知,单一媒体,False,False,媒体调查／研究推断,LX26B05,2026-04,month,网传惠州博罗酒店门前持刀伤人线索,广东,惠州,商业场所,持械,pending,同一受访者在4月22日谈及前几天酒店门前另有持刀事件；缺独立发生证据、确切日期、受害关系及作案过程。,"[""LXS26B05""]","{""date"": [""LXS26B05""], ""location"": [""LXS26B05""], ""casualties"": [], ""classification"": [""LXS26B05""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],同一受访者在4月22日谈及前几天酒店门前另有持刀事件；缺独立发生证据、确切日期、受害关系及作案过程。,[],2026,2026-04,2026-Q2,待核实,False,False,False,0,0,
